eval,search,best_leak
8,hardening -> R_eff collapse,0.6225
9,hardening -> R_eff collapse,0.6225
10,hardening -> R_eff collapse,0.6925
11,hardening -> R_eff collapse,0.6925
12,hardening -> R_eff collapse,0.6925
13,hardening -> R_eff collapse,0.6925
14,hardening -> R_eff collapse,0.6925
15,hardening -> R_eff collapse,0.6925
16,hardening -> R_eff collapse,0.6925
17,hardening -> R_eff collapse,0.6925
18,hardening -> R_eff collapse,0.6925
19,hardening -> R_eff collapse,0.6925
20,hardening -> R_eff collapse,0.6925
21,hardening -> R_eff collapse,0.6925
22,hardening -> R_eff collapse,0.6925
23,hardening -> R_eff collapse,0.6925
24,hardening -> R_eff collapse,0.6925
25,hardening -> R_eff collapse,0.6925
26,hardening -> R_eff collapse,0.6925
27,hardening -> R_eff collapse,0.6925
28,hardening -> R_eff collapse,0.6925
29,hardening -> R_eff collapse,0.6925
30,hardening -> R_eff collapse,0.7075
31,hardening -> R_eff collapse,0.7075
32,hardening -> R_eff collapse,0.7075
33,hardening -> R_eff collapse,0.7075
34,hardening -> R_eff collapse,0.7250
35,hardening -> R_eff collapse,0.7250
36,hardening -> R_eff collapse,0.7250
37,hardening -> R_eff collapse,0.7250
38,hardening -> R_eff collapse,1.0000
39,hardening -> R_eff collapse,1.0000
40,hardening -> R_eff collapse,1.0000
41,hardening -> R_eff collapse,1.0000
42,hardening -> R_eff collapse,1.0000
43,hardening -> R_eff collapse,1.0000
44,hardening -> R_eff collapse,1.0000
45,hardening -> R_eff collapse,1.0000
46,hardening -> R_eff collapse,1.0000
47,hardening -> R_eff collapse,1.0000
48,hardening -> R_eff collapse,1.0000
49,hardening -> R_eff collapse,1.0000
50,hardening -> R_eff collapse,1.0000
51,hardening -> R_eff collapse,1.0000
52,hardening -> R_eff collapse,1.0000
53,hardening -> R_eff collapse,1.0000
54,hardening -> R_eff collapse,1.0000
55,hardening -> R_eff collapse,1.0000
56,hardening -> R_eff collapse,1.0000
57,hardening -> R_eff collapse,1.0000
58,hardening -> R_eff collapse,1.0000
59,hardening -> R_eff collapse,1.0000
60,hardening -> R_eff collapse,1.0000
61,hardening -> R_eff collapse,1.0000
62,hardening -> R_eff collapse,1.0000
63,hardening -> R_eff collapse,1.0000
64,hardening -> R_eff collapse,1.0000
65,hardening -> R_eff collapse,1.0000
66,hardening -> R_eff collapse,1.0000
67,hardening -> R_eff collapse,1.0000
68,hardening -> R_eff collapse,1.0000
69,hardening -> R_eff collapse,1.0000
70,hardening -> R_eff collapse,1.0000
71,hardening -> R_eff collapse,1.0000
72,hardening -> R_eff collapse,1.0000
73,hardening -> R_eff collapse,1.0000
74,hardening -> R_eff collapse,1.0000
75,hardening -> R_eff collapse,1.0000
76,hardening -> R_eff collapse,1.0000
77,hardening -> R_eff collapse,1.0000
78,hardening -> R_eff collapse,1.0000
79,hardening -> R_eff collapse,1.0000
80,hardening -> R_eff collapse,1.0000
81,hardening -> R_eff collapse,1.0000
82,hardening -> R_eff collapse,1.0000
83,hardening -> R_eff collapse,1.0000
84,hardening -> R_eff collapse,1.0000
85,hardening -> R_eff collapse,1.0000
86,hardening -> R_eff collapse,1.0000
87,hardening -> R_eff collapse,1.0000
88,hardening -> R_eff collapse,1.0000
89,hardening -> R_eff collapse,1.0000
90,hardening -> R_eff collapse,1.0000
91,hardening -> R_eff collapse,1.0000
92,hardening -> R_eff collapse,1.0000
93,hardening -> R_eff collapse,1.0000
94,hardening -> R_eff collapse,1.0000
95,hardening -> R_eff collapse,1.0000
96,hardening -> R_eff collapse,1.0000
97,hardening -> R_eff collapse,1.0000
98,hardening -> R_eff collapse,1.0000
99,hardening -> R_eff collapse,1.0000
100,hardening -> R_eff collapse,1.0000
101,hardening -> R_eff collapse,1.0000
102,hardening -> R_eff collapse,1.0000
103,hardening -> R_eff collapse,1.0000
104,hardening -> R_eff collapse,1.0000
105,hardening -> R_eff collapse,1.0000
106,hardening -> R_eff collapse,1.0000
107,hardening -> R_eff collapse,1.0000
108,hardening -> R_eff collapse,1.0000
109,hardening -> R_eff collapse,1.0000
110,hardening -> R_eff collapse,1.0000
111,hardening -> R_eff collapse,1.0000
112,hardening -> R_eff collapse,1.0000
113,hardening -> R_eff collapse,1.0000
114,hardening -> R_eff collapse,1.0000
115,hardening -> R_eff collapse,1.0000
116,hardening -> R_eff collapse,1.0000
117,hardening -> R_eff collapse,1.0000
118,hardening -> R_eff collapse,1.0000
119,hardening -> R_eff collapse,1.0000
120,hardening -> R_eff collapse,1.0000
121,hardening -> R_eff collapse,1.0000
122,hardening -> R_eff collapse,1.0000
123,hardening -> R_eff collapse,1.0000
124,hardening -> R_eff collapse,1.0000
125,hardening -> R_eff collapse,1.0000
